cluster,cluster_label,vulnerability_score,n_zcta,variable,cluster_median,display_label,theme,n_clusters_observed,median_center,median_sd,standardized_median,row_order,column_order
5,White / Older / Mid-low income,0.472876382876383,9,pct_asian,0.0107976314872867,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,-0.9504303806405063,5,4
5,White / Older / Mid-low income,0.472876382876383,9,median_income,57833,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,-0.5296129020456138,5,5
5,White / Older / Mid-low income,0.472876382876383,9,education_low,0.122802850356295,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,-0.2966566979293835,5,6
5,White / Older / Mid-low income,0.472876382876383,9,uninsured_rate,0.0614011720831113,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,-0.5739979811948486,5,7
5,White / Older / Mid-low income,0.472876382876383,9,poverty_rate,0.139469226425748,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,-0.08200319989100377,5,8
5,White / Older / Mid-low income,0.472876382876383,9,unemployment_rate,0.0626029654036244,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,-0.2537942662586318,5,9
5,White / Older / Mid-low income,0.472876382876383,9,pct_age17,0.208978328173375,Age <18,Household,14,0.1928420108318432,0.0645451732531949,0.25000037227002186,5,10
5,White / Older / Mid-low income,0.472876382876383,9,pct_age65,0.172134551495017,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,0.7643343706814094,5,11
5,White / Older / Mid-low income,0.472876382876383,9,disability_rate,0.1717605858007,Disability,Household,14,0.10367445532547415,0.03367173118128822,2.0220561309619307,5,12
5,White / Older / Mid-low income,0.472876382876383,9,elderly_alone_rate,0.260554885404101,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,0.1676894106630319,5,13
5,White / Older / Mid-low income,0.472876382876383,9,language_isolation,0.0221870047543582,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,-1.036217739540926,5,14
5,White / Older / Mid-low income,0.472876382876383,9,no_phone_rate,0.00734618916437098,No phone,Household,14,0.017067492490141105,0.005222091766650528,-1.8615726724399198,5,15
5,White / Older / Mid-low income,0.472876382876383,9,alt_housing_rate,0.0834487534626039,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,2.753006373842121,5,16
5,White / Older / Mid-low income,0.472876382876383,9,old_housing_rate,0.487993487993488,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,-1.5713464076460153,5,17
5,White / Older / Mid-low income,0.472876382876383,9,renter_burden_rate,0.515859766277129,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,-0.5019361678187655,5,18
5,White / Older / Mid-low income,0.472876382876383,9,housing_overcrowding,0,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,-1.0018507411588324,5,19
5,White / Older / Mid-low income,0.472876382876383,9,outdoor_worker_rate,0.0905096660808436,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,1.2422943003456104,5,20
10,Asian / Older / Mid-low income,0.540344967532468,8,pct_black,0.00555714840376822,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,-0.9097630414016704,6,1
10,Asian / Older / Mid-low income,0.540344967532468,8,pct_hispanic,0.288105309344905,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,-0.28002169937131755,6,2
10,Asian / Older / Mid-low income,0.540344967532468,8,pct_white,0.0798932095216068,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,-1.201795581344805,6,3
10,Asian / Older / Mid-low income,0.540344967532468,8,pct_asian,0.61274714742483,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,2.8747365121784885,6,4
10,Asian / Older / Mid-low income,0.540344967532468,8,median_income,58046.5,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,-0.5186986573547034,6,5
10,Asian / Older / Mid-low income,0.540344967532468,8,education_low,0.198438555215788,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,0.36764185341978367,6,6
10,Asian / Older / Mid-low income,0.540344967532468,8,uninsured_rate,0.0789679779525164,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,-0.113016724001296,6,7
10,Asian / Older / Mid-low income,0.540344967532468,8,poverty_rate,0.136778748706412,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,-0.12654179473090732,6,8
10,Asian / Older / Mid-low income,0.540344967532468,8,unemployment_rate,0.0506456297452991,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,-0.9502359633320318,6,9
10,Asian / Older / Mid-low income,0.540344967532468,8,pct_age17,0.178441673658017,Age <18,Household,14,0.1928420108318432,0.0645451732531949,-0.22310478767075612,6,10
10,Asian / Older / Mid-low income,0.540344967532468,8,pct_age65,0.170857560531321,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,0.7375661910530322,6,11
10,Asian / Older / Mid-low income,0.540344967532468,8,disability_rate,0.0894114415374854,Disability,Household,14,0.10367445532547415,0.03367173118128822,-0.4235901537463828,6,12
10,Asian / Older / Mid-low income,0.540344967532468,8,elderly_alone_rate,0.137417226179459,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,-1.2747942192062778,6,13
10,Asian / Older / Mid-low income,0.540344967532468,8,language_isolation,0.232122286840944,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,1.818482716218943,6,14
10,Asian / Older / Mid-low income,0.540344967532468,8,no_phone_rate,0.0194555878755331,No phone,Household,14,0.017067492490141105,0.005222091766650528,0.4573062849341176,6,15
10,Asian / Older / Mid-low income,0.540344967532468,8,alt_housing_rate,0.00434909605810197,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,-0.4659945507594834,6,16
10,Asian / Older / Mid-low income,0.540344967532468,8,old_housing_rate,0.748120108744698,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,0.2622879789873563,6,17
10,Asian / Older / Mid-low income,0.540344967532468,8,renter_burden_rate,0.567858619267666,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,0.5398430340576595,6,18
10,Asian / Older / Mid-low income,0.540344967532468,8,housing_overcrowding,0.00389644059246162,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,-0.46509454347408324,6,19
10,Asian / Older / Mid-low income,0.540344967532468,8,outdoor_worker_rate,0.0466770198486343,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,-0.3493229744394711,6,20
6,White / Older / High income,0.249322991822992,45,pct_black,0.0195966359108353,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,-0.6291295866072153,7,1
6,White / Older / High income,0.249322991822992,45,pct_hispanic,0.0954323255596724,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,-1.1468996247947458,7,2
6,White / Older / High income,0.249322991822992,45,pct_white,0.711632576232903,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,1.5368200555540121,7,3
6,White / Older / High income,0.249322991822992,45,pct_asian,0.0806737864682256,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,-0.5063932187960077,7,4
6,White / Older / High income,0.249322991822992,45,median_income,103278,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,1.7935620393053195,7,5
6,White / Older / High income,0.249322991822992,45,education_low,0.0314042553191489,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,-1.0993986620760283,7,6
6,White / Older / High income,0.249322991822992,45,uninsured_rate,0.0402250476232667,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,-1.1296935668669004,7,7
6,White / Older / High income,0.249322991822992,45,poverty_rate,0.0699300699300699,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,-1.233165424506646,7,8
6,White / Older / High income,0.249322991822992,45,unemployment_rate,0.0523255813953488,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,-0.8523890506423083,7,9
6,White / Older / High income,0.249322991822992,45,pct_age17,0.175703387745058,Age <18,Household,14,0.1928420108318432,0.0645451732531949,-0.26552912050533334,7,10
6,White / Older / High income,0.249322991822992,45,pct_age65,0.173154307300649,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,0.7857104080679487,7,11
6,White / Older / High income,0.249322991822992,45,disability_rate,0.0812000987735616,Disability,Household,14,0.10367445532547415,0.03367173118128822,-0.6674547391374345,7,12
6,White / Older / High income,0.249322991822992,45,elderly_alone_rate,0.282804358124112,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,0.4283286040172691,7,13
6,White / Older / High income,0.249322991822992,45,language_isolation,0.0221505677835413,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,-1.0367132095551308,7,14
6,White / Older / High income,0.249322991822992,45,no_phone_rate,0.0115316901408451,No phone,Household,14,0.017067492490141105,0.005222091766650528,-1.0600737399233204,7,15
6,White / Older / High income,0.249322991822992,45,alt_housing_rate,0.00159721213881226,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,-0.5779838712098864,7,16
6,White / Older / High income,0.249322991822992,45,old_housing_rate,0.76294872914665,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,0.3668150289172349,7,17
6,White / Older / High income,0.249322991822992,45,renter_burden_rate,0.454779727573935,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,-1.7256538137132766,7,18
6,White / Older / High income,0.249322991822992,45,housing_overcrowding,7.9904115061925e-4,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,-0.8917784124212141,7,19
6,White / Older / High income,0.249322991822992,45,outdoor_worker_rate,0.0313296903460838,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,-0.9066033774676711,7,20
14,Asian & White / Older / High income,0.339931129476584,22,pct_black,0.0263023193544353,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,-0.4950905691154312,8,1
14,Asian & White / Older / High income,0.339931129476584,22,pct_hispanic,0.144303611825554,Hispanic,Race/ethnicity,14,0.35034315709737823,0.22226080297421477,-0.9270170111629065,8,2
14,Asian & White / Older / High income,0.339931129476584,22,pct_white,0.405925255480775,White (NH),Race/ethnicity,14,0.35712144456335826,0.23067836106664166,0.21156648890581295,8,3
14,Asian & White / Older / High income,0.339931129476584,22,pct_asian,0.339593975194936,Asian (NH),Race/ethnicity,14,0.16036263703852552,0.15736555627614215,1.1389489695057453,8,4
14,Asian & White / Older / High income,0.339931129476584,22,median_income,99487,Median income,Socioeconomic,14,68193.07142857143,19561.591850493012,1.599763905238615,8,5
14,Asian & White / Older / High income,0.339931129476584,22,education_low,0.0688446824218759,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,-0.7705642639245311,8,6
14,Asian & White / Older / High income,0.339931129476584,22,uninsured_rate,0.0489927455237846,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,-0.899615063642063,8,7
14,Asian & White / Older / High income,0.339931129476584,22,poverty_rate,0.0649901662501183,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,-1.314941373427647,8,8
14,Asian & White / Older / High income,0.339931129476584,22,unemployment_rate,0.0450190998956972,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,-1.2779469274683106,8,9
14,Asian & White / Older / High income,0.339931129476584,22,pct_age17,0.211965919374101,Age <18,Household,14,0.1928420108318432,0.0645451732531949,0.2962871982268818,8,10
14,Asian & White / Older / High income,0.339931129476584,22,pct_age65,0.178785645483109,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,0.9037540562234061,8,11
14,Asian & White / Older / High income,0.339931129476584,22,disability_rate,0.0866599159880707,Disability,Household,14,0.10367445532547415,0.03367173118128822,-0.505306342753729,8,12
14,Asian & White / Older / High income,0.339931129476584,22,elderly_alone_rate,0.173755064300444,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,-0.8491182971170239,8,13
14,Asian & White / Older / High income,0.339931129476584,22,language_isolation,0.064501180701802,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,-0.46082947625485937,8,14
14,Asian & White / Older / High income,0.339931129476584,22,no_phone_rate,0.0106334907812761,No phone,Household,14,0.017067492490141105,0.005222091766650528,-1.232073658673333,8,15
14,Asian & White / Older / High income,0.339931129476584,22,alt_housing_rate,0.001527279351664,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,-0.580829821671328,8,16
14,Asian & White / Older / High income,0.339931129476584,22,old_housing_rate,0.807462092277626,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,0.6805900399712544,8,17
14,Asian & White / Older / High income,0.339931129476584,22,renter_burden_rate,0.496211524823849,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,-0.8955819527209525,8,18
14,Asian & White / Older / High income,0.339931129476584,22,housing_overcrowding,0.00278529311011482,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,-0.6181612420515813,8,19
14,Asian & White / Older / High income,0.339931129476584,22,outdoor_worker_rate,0.037524896775596,Outdoor-work proxy,Work,14,0.05629726624955125,0.02753968992836427,-0.6816478153089448,8,20
9,White / High income,0.383938738029647,33,pct_black,0.0424542305789213,Black (NH),Race/ethnicity,14,0.051070634539999424,0.050027846884292695,-0.17223215664281216,9,1
